S. No.,Item name*,Item code,Purchase,Sale Price,In stock,
158,CHOTI ELAICHI ILAICHI 10,,140,190,3,
159,CIGARETTE ZCLS DBL BURS,,303,330,0,
160,CIGARETTE BENSON & HEDGE,,303,330,1,
161,CIGARETTE BENSON & HEDGE,,15,18,6,
162,CIGARETTE CLASSIC LOOSE,,15,18,107,
163,CIGARETTE CLASSIC PACKET,,303,330,12,
164,CIGARETTE ESSE LIGHT,,125,150,2,
165,CIGARETTE ESSE LIGHT LOO,,8,10,14,
166,CIGARETTE GOLD FLAKE LAR,,17,20,-5,
167,CIGARETTE GOLD FLAKE LAR,,152,165,3,
168,CIGARETTE GOLD FLAKE SMA,,9,10,17,
169,CIGARETTE GOLD FLAKE SMA,,95,95,7,
170,CIGARETTE LIGHTER GAS SP,,60,150,1,
171,CIGARETTE LIGHTER KING N,,8,30,37,
172,CIGARETTE LIGHTER STANDA,6739225235815,5,10,21,
173,CIGARETTE MARLBORO LOOSE,,15,18,27,
174,CIGARETTE MARLBORO PACKE,,315,330,5,
175,CIGARETTE MARLBORO SMALL,,0,0,2,
176,CIGARETTE MARLBORO SMALL,,8,10,5,
177,CIGRATE CLASSIC,,0,20,-11,
178,CINTHOL,,30,30,0,
179,CINTHOL LIME SOAP 50 GM,8901023016035,8,10,2,
180,CLASSIC DOUBLE BURST,8901725120610,300,330,5,
181,CLASSIC GAME CHESS ONLY,,99,175,0,
182,CLASSIC GAMES SET LUDO T,,99,199,3,
183,CLASSMATE 10 ROUGH REGIS,,15,25,58,
184,CLEAN & CLEAR FACE WASH,8901012189320,70,80,1,
185,CLEAN HAND RUB SANITIZER,,300,590,2,
186,CLEANZO 1 LTR.,8908008172021,30,60,11,
187,CLEANZO PHENYL FLOOR CLE,,55,105,3,
188,CLEANZO PHENYL FLOOR CLE,709016033377,140,280,2,
189,CLERBY TISSUE BOX,8908016639103,80,85,31,
190,CLINI PLUS EGG WITH PROT,8901030852633,460,478,1,
191,CLINIC PLUS POUCH 1 RE,8901030779039,0.8,1,171,
192,CLOTHESLINE RASSI,10002696,70,90,1,
193,CLOTHESLINE ROPE20 M NYL,,75,99,1,
194,COCONUT COOKIES 900GM,8906078263861,160,180,-2,
195,COKE 2 L COLD DRINK,8901764012501,80,90,-3,
196,COKE 250 ML BIKAU NAHI H,8901764012914,12,20,59,
197,COKE 750 ML COLD DRINK,8901764012273,0,40,-26,
198,COKE CAN 300 ML,,9,40,0,
